,Kingdom,Phylum,Class,Order,Family,Genus,species
ASV3,Archaea,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV13,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Haloterrigena,Haloterrigena_salina_JCM_13891
ASV15,Archaea,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV20,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halomicrobiaceae,Halosimplex,Unassigned
ASV23,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Uncultured_Halococcaceae,Uncultured_Uncultured_Halococcaceae
ASV33,Archaea,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
ASV34,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halomicrobiaceae,Halomicroarcula,Haloarcula_sp._LV_23S94
ASV105,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halomicrobiaceae,Unidentified_Halomicrobiaceae,Unidentified_Halomicrobiaceae
ASV123,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halomicrobiaceae,Unidentified_Halomicrobiaceae,Unidentified_Halomicrobiaceae
ASV182,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Unidentified_Methanobrevibacter
ASV187,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Haloterrigena,Unidentified_Haloterrigena
ASV192,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Uncultured_Haloferacaceae,Uncultured_Uncultured_Haloferacaceae
ASV201,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,A07HB70,uncultured_Halobacteria_archaeon
ASV203,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halomicrobiaceae,Halomicrobium,uncultured_archaeon
ASV234,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Haloterrigena,Unidentified_Haloterrigena
ASV302,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Unassigned
ASV303,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halomicrobiaceae,Unassigned,Unassigned
ASV305,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halomicrobiaceae,Unidentified_Halomicrobiaceae,Unidentified_Halomicrobiaceae
ASV320,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halomicrobiaceae,Unidentified_Halomicrobiaceae,Unidentified_Halomicrobiaceae
ASV350,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloferacaceae,Haloterrigena,Natrinema_sp._WN43
