#NAME	A1_a	A2_a	A3_a	A4_a	A5_a	A6_a	B1_a	B2_a	B3_a	B4_a	B5_a	B6_a	C1_a	C2_a	C3_a	C4_a	C5_a	C6_a	D1_a	D2_a	D3_a	D4_a	D5_a	D6_a	E1_a	E2_a	E3_a	E4_a	E5_a	E6_a
7226346a40d74ea2323aa0f41d3618fc	4602.0	748.0	31132.0	2092.0	10222.0	30504.0	54.0	58.0	76.0	104.0	72.0	98.0	72.0	62.0	0.0	64.0	200.0	0.0	0.0	0.0	0.0	0.0	158.0	0.0	0.0	30.0	0.0	74.0	0.0	0.0
913db6813d294b0d9005eeae6d9d56fd	84.0	70.0	124.0	56.0	16.0	162.0	2048.0	4858.0	9186.0	19684.0	4996.0	24684.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	100.0	0.0	0.0	24.0	0.0	32.0	0.0	0.0
bb85d0f0c0299b3b8223ae2283b9ad9e	46.0	0.0	50.0	42.0	0.0	0.0	0.0	70.0	20.0	0.0	0.0	0.0	50042.0	58.0	22.0	0.0	44.0	0.0	0.0	0.0	8654.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
8063576b0c08ea9f40a39f3dcc81f2bc	40.0	24.0	48.0	0.0	50.0	56.0	0.0	0.0	0.0	0.0	90.0	0.0	9858.0	4958.0	5222.0	2000.0	33188.0	1400.0	0.0	0.0	24.0	0.0	44.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0
8a9a8635494db5ed6d86763a828ee00f	50530.0	50.0	34.0	154.0	12.0	54.0	50.0	42.0	24.0	22.0	52.0	0.0	36.0	0.0	38.0	0.0	16.0	0.0	0.0	18.0	0.0	22.0	16.0	0.0	0.0	8.0	0.0	26.0	0.0	0.0
0fa551461c37552c624a352d9d978e6c	44.0	28.0	26.0	34.0	0.0	22.0	14940.0	34776.0	14.0	16.0	40.0	14.0	38.0	52.0	34.0	28.0	42.0	12.0	8.0	30.0	30.0	0.0	18.0	14.0	14.0	12.0	8.0	86.0	0.0	0.0
5bf74637c041dbcdf2a2dc8ca79ce289	128.0	66.0	16.0	60.0	0.0	18.0	48.0	24.0	0.0	18.0	102.0	16.0	44.0	24212.0	17896.0	100.0	46.0	5870.0	4.0	12.0	0.0	10.0	28.0	0.0	18.0	0.0	0.0	34.0	6.0	0.0
408c859f5609f6a96910e6f7c7d5049c	74.0	28.0	0.0	60.0	0.0	22.0	48.0	30.0	0.0	32.0	44394.0	24.0	0.0	58.0	56.0	0.0	86.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	34.0	0.0	0.0	34.0	0.0	10.0
fb4c5d6e57976627c2452bb36929bcc1	0.0	0.0	162.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	38.0	0.0	112.0	0.0	488.0	348.0	286.0	8044.0	21714.0	3756.0	0.0	0.0	40.0	0.0	174.0	100.0
da888ee8ba6646a7a89d08fe71a558b3	26.0	20.0	0.0	12.0	0.0	0.0	14.0	34.0	0.0	0.0	18.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33440.0	0.0	2.0
