OTUID	A1_a	A2_a	A3_a	A4_a	A5_a	A6_a	B1_a	B2_a	B3_a	B4_a	B5_a	B6_a	C1_a	C2_a	C3_a	C4_a	C5_a	C6_a	D1_a	D2_a	D3_a	D4_a	D5_a	D6_a	E1_a	E2_a	E3_a	E4_a	E5_a	E6_a
ASV1	4602	748	31132	2092	10222	30504	54	58	76	104	72	98	72	62	0	64	200	0	0	0	0	0	158	0	0	30	0	74	0	0
ASV2	84	70	124	56	16	162	2048	4858	9186	19684	4996	24684	82	0	0	0	0	0	0	28	0	0	100	0	0	24	0	32	0	0
ASV3	46	0	50	42	0	0	0	70	20	0	0	0	50042	58	22	0	44	0	0	0	8654	0	0	12	0	0	0	0	0	0
ASV4	40	24	48	0	50	56	0	0	0	0	90	0	9858	4958	5222	2000	33188	1400	0	0	24	0	44	0	0	0	0	52	0	0
ASV5	50530	50	34	154	12	54	50	42	24	22	52	0	36	0	38	0	16	0	0	18	0	22	16	0	0	8	0	26	0	0
ASV6	44	28	26	34	0	22	14940	34776	14	16	40	14	38	52	34	28	42	12	8	30	30	0	18	14	14	12	8	86	0	0
ASV7	128	66	16	60	0	18	48	24	0	18	102	16	44	24212	17896	100	46	5870	4	12	0	10	28	0	18	0	0	34	6	0
ASV8	74	28	0	60	0	22	48	30	0	32	44394	24	0	58	56	0	86	0	0	0	0	0	16	0	34	0	0	34	0	10
ASV9	0	0	162	0	0	0	0	0	0	0	0	0	72	0	38	0	112	0	488	348	286	8044	21714	3756	0	0	40	0	174	100
ASV10	26	20	0	12	0	0	14	34	0	0	18	0	0	0	12	0	0	0	0	8	0	0	0	0	0	0	0	33440	0	2
ASV11	38	32	28	28808	0	8	24	18	6	0	26	0	22	26	16	18	0	0	0	0	0	0	0	0	24	0	0	18	0	0
ASV12	20	36	10	15962	0	0	11340	24	0	0	26	6	14	38	8	46	0	16	0	0	0	0	16	0	8	10	0	14	0	0
ASV13	0	0	22	0	0	0	0	0	0	0	0	0	38	0	0	12030	0	0	0	30	13530	18	0	0	0	0	0	0	0	0
ASV14	1458	288	8382	690	2778	8654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV15	0	52	0	0	0	58	0	0	0	0	52	0	0	0	0	60	0	30	0	14418	0	36	0	0	76	6432	0	78	40	10
ASV16	0	0	0	0	0	0	0	0	0	0	0	0	4362	2612	1740	1316	10134	930	0	0	0	0	0	0	0	0	0	0	0	0
ASV17	0	0	0	22	0	18	32	0	0	0	42	0	14	15850	26	84	0	4352	0	0	18	0	14	0	14	0	0	0	0	0
ASV18	22	0	18	0	0	8	24	16	10	0	16	6	26	14	0	10	0	12	22	8	0	18	0	0	50	6086	0	12502	22	2
ASV19	0	0	0	0	0	0	710	1472	2238	4928	1436	6942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV20	0	16772	0	22	0	0	0	22	0	0	28	0	34	24	22	16	12	0	0	10	0	0	0	0	0	10	0	10	0	0
ASV21	22	20	12	16	6	0	16068	12	0	6	0	10	22	24	0	0	0	6	0	8	0	0	12	0	0	4	0	22	0	0
ASV22	34	16	0	46	0	0	0	12	0	0	38	0	10	30	12714	3316	6	0	0	0	0	0	0	0	0	0	0	14	0	0
ASV23	34	15320	4	18	0	10	0	16	0	0	18	16	42	26	0	28	8	10	0	0	0	0	0	0	0	0	8	12	0	0
ASV24	30	26	8	28	0	10	30	12	0	8	22	0	20	36	0	40	0	0	6	10	22	0	10	10	13676	0	0	22	0	0
ASV25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	128	102	2544	6406	962	0	0	0	0	0	0
