#
#record	A1_a	A2_a	A3_a	A4_a	A5_a	A6_a	B1_a	B2_a	B3_a	B4_a	B5_a	B6_a	C1_a	C2_a	C3_a	C4_a	C5_a	C6_a	D1_a	D2_a	D3_a	D4_a	D5_a	D6_a	E1_a	E2_a	E3_a	E4_a	E5_a	E6_a
Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloferacaceae; Haloterrigena	0	0	22	0	0	0	0	0	0	0	0	0	38	0	0	12030	0	0	0	30	13530	18	0	0	0	0	0	0	0	0
Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloferacaceae; Haloterrigena	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloferacaceae; Haloterrigena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	240	0	0	0	0	0	0	0	0	0
Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloferacaceae; Haloterrigena	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloferacaceae; Haloterrigena	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloferacaceae; Haloterrigena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	162	0	0	0	0	0	0	0	0	0
Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloferacaceae; Haloterrigena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	102	0	0	0	0	0	0	0	0	0
Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloferacaceae; Halobaculum	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloferacaceae; Haloterrigena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloferacaceae; Haloterrigena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloferacaceae; Haloterrigena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Haloferacaceae; Haloterrigena	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
